DISCIPLINA;ÁREA DO CONHECIMENTO;ÁREA FUNCIONAL DEFINIDA
Ética, Ciência e Profissão;Psicologia e Desenvolvimento Pessoal;Desenvolvimento Pessoal e Profissional
Ética Profissional e Compliance;Direito;Exercício Profissional e Pesquisa em Direito
Ética e Serviço Social;Saúde e Bem-Estar Social;Serviço Social e Orientação
Etica e Responsabilidade Socioambiental;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Voleibol;Saúde e Bem-Estar Social;Especialidades da Educação Física
Vigilância Epidemiológica;Saúde e Bem-Estar Social;Epidemiologia e Saúde Pública
Tópicos Especiais em Radiologia;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Tópicos especiais em farmácia;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Tópicos Especiais de Engenharia Elétrica;Engenharia, Produção e Construção;Engenharia Elétrica e de Energia
Tópicos Especiais de Engenharia Civil;Engenharia, Produção e Construção;Engenharia Civil e Construções
Tópicos Emergentes em Psicologia III;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Tópicos Emergentes em Psicologia II;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Tópicos Emergentes em Psicologia I;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Tópicos em Sistemas de Informação;Matemática, Computação e Tecnologias de Informação e Comunicacão;Interdisciplinar com foco em Matemática, Computação e TICs
Tópicos em Saúde e Biossegurança;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Tópicos em Gestão Financeira;Administração e Negócios;Finanças, Bancos e Seguros
Tópicos Educacionais- Sexualidade e Diversidade de Gêneros;Educação;Interdisciplinar com foco em Educação
Tópicos Educacionais- História e Cultura Africana e Indígena;Educação;Interdisciplinar com foco em Educação
Tópicos de Serviço Social;Saúde e Bem-Estar Social;Serviço Social e Orientação
Tópicos de Matemática;Matemática, Computação e Tecnologias de Informação e Comunicacão;Matemática Aplicada e Computacional
Tópicos de Marketing;Administração e Negócios;Marketing
Tópicos de Logística e de Transporte;Administração e Negócios;Logística
Tópicos de Direito;Direito;Direito Administrativo
Tópicos da Radiologia;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Tópicos Avançados em Recursos Humanos;Administração e Negócios;Gestão de Pessoas e Departamento de Pessoal
Tópicos Avançados em Psicologia;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Tópicos Avançados em Marketing;Administração e Negócios;Marketing
Tópicos Avançados em Logística;Administração e Negócios;Logística
Tópicos Avançados em Gestão da TI;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Tópicos Avançados em Finanças;Administração e Negócios;Finanças, Bancos e Seguros
Tópicos Avançados em Engenharia de Manutenção;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Tópicos Avançados em Enfermagem;Saúde e Bem-Estar Social;Ciências da Enfermagem
Tópicos Avançados em Educação Física;Saúde e Bem-Estar Social;Especialidades da Educação Física
Tópicos Avançados em Direito;Direito;Exercício Profissional e Pesquisa em Direito
Tópicos Avançados em Ciências Contábeis;Administração e Negócios;Contabilidade e Tributação
Tópicos Avançados em Biomedicina;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Tópicos Avançados em Arquitetura e Urbanismo;Engenharia, Produção e Construção;Arquitetura e urbanismo
Tópicos Avançados em Análise e Desenvolvimento de Sistemas;Matemática, Computação e Tecnologias de Informação e Comunicacão;Ciências e Engenharia da Computação
Tópicos Avançados em Administração;Administração e Negócios;Ciências da Administração
Tópicos Avançados de Engenharia de Produção;Engenharia, Produção e Construção;Engenharia de Produção e Processos de Fabricação
Tópicos Avançados de Engenharia de Computação;Matemática, Computação e Tecnologias de Informação e Comunicacão;Ciências e Engenharia da Computação
Tópicos Avançados de Administração;Administração e Negócios;Ciências da Administração
Tópicos Avançados Aplicados à Pedagogia;Educação;Ciências da Educação, Didática e Pedagogia
Tópicos aplicados à Educação Física;Saúde e Bem-Estar Social;Especialidades da Educação Física
Técnicas do Exame Psicológico;Psicologia e Desenvolvimento Pessoal;Metodologias e Técnicas em Psicologia
Técnicas de Observação Psicológica;Psicologia e Desenvolvimento Pessoal;Metodologias e Técnicas em Psicologia
Técnicas de Construção Civil e Legislação das Construções;Engenharia, Produção e Construção;Engenharia Civil e Construções
Técnicas de Construção Civil;Engenharia, Produção e Construção;Engenharia Civil e Construções
Tutela Provisória e Recursos Cíveis;Direito;Direito Civil
Tutela do Direito do Trabalho e Previdenciário;Direito;Direito do Trabalho e Legislação Trabalhista
Treinamento Personalizado;Saúde e Bem-Estar Social;Especialidades da Educação Física
Treinamento e Desenvolvimento Profissional;Administração e Negócios;Gestão de Pessoas e Departamento de Pessoal
Transmissão e Distribuição de Energia;Engenharia, Produção e Construção;Engenharia Elétrica e de Energia
Trabalho Final de Graduação;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Trabalho e Sociabilidade;Ciências Sociais, Jornalismo e Informação;Sociologia
Trabalho de Curso III;Direito;Interdisciplinar com foco em Direito
Trabalho de Curso II;Direito;Interdisciplinar com foco em Direito
Trabalho de Curso I;Direito;Interdisciplinar com foco em Direito
Trabalho de conclusão de curso II em Psicologia;Psicologia e Desenvolvimento Pessoal;Interdisciplinar com foco em Psicologia e Desenvolvimento Pessoal
Trabalho de Conclusão de Curso II - Biomedicina;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Trabalho de Conclusão de Curso II;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Trabalho de Conclusão de Curso II;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Trabalho de Conclusão de Curso II;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Trabalho de Conclusão de Curso II;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Trabalho de Conclusão de Curso II;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Trabalho de Conclusão de Curso II;Matemática, Computação e Tecnologias de Informação e Comunicacão;Interdisciplinar com foco em Matemática, Computação e TICs
Trabalho de Conclusão de Curso II;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Trabalho de Conclusão de Curso II;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Trabalho de Conclusão de Curso II;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Trabalho de Conclusão de Curso II;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Trabalho de Conclusão de Curso II;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Trabalho de Conclusão de Curso II;Educação;Interdisciplinar com foco em Educação
Trabalho de conclusão de curso I em Psicologia;Psicologia e Desenvolvimento Pessoal;Interdisciplinar com foco em Psicologia e Desenvolvimento Pessoal
Trabalho de Conclusão de Curso I - Biomedicina;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Trabalho de Conclusão de Curso I;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Trabalho de Conclusão de Curso I;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Trabalho de Conclusão de Curso I;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Trabalho de Conclusão de Curso I;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Trabalho de Conclusão de Curso I;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Trabalho de Conclusão de Curso I;Matemática, Computação e Tecnologias de Informação e Comunicacão;Interdisciplinar com foco em Matemática, Computação e TICs
Trabalho de Conclusão de Curso I;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Trabalho de Conclusão de Curso I;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Trabalho de Conclusão de Curso I;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Trabalho de Conclusão de Curso I;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Trabalho de Conclusão de Curso I;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Trabalho de Conclusão de Curso I;Educação;Interdisciplinar com foco em Educação
Toxicologia e Análises Toxicológicas;Saúde e Bem-Estar Social;Análises Clínicas e Toxicológicas
Topografia;Engenharia, Produção e Construção;Engenharia Civil e Construções
TI na Gestão de Negócios e Comércio Eletrônico;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Termodinâmica;Ciências Naturais;Ciências Físicas
Teorias e Técnicas Psicoterápicas Psicodinâmicas;Psicologia e Desenvolvimento Pessoal;Teorias e Abordagens Psicoterapêuticas
Teorias da Educação e Currículo;Educação;Políticas, Currículos e Programas Educacionais
Teorias da Administração;Administração e Negócios;Ciências da Administração
Teoria Política;Ciências Sociais, Jornalismo e Informação;Ciências Políticas e Direitos Humanos
Teoria Geral do Processo;Direito;Estudos de Direito, Justiça Criminal e Estudos para-legais
Teoria Geral do Crime;Direito;Estudos de Direito, Justiça Criminal e Estudos para-legais
Teoria Geral das Obrigações;Direito;Estudos de Direito, Justiça Criminal e Estudos para-legais
Teoria Econômica;Ciências Sociais, Jornalismo e Informação;Ciências Econômicas
Teoria do Urbanismo;Engenharia, Produção e Construção;Arquitetura e urbanismo
Teoria das Estruturas;Engenharia, Produção e Construção;Engenharia Civil e Construções
Teoria da Empresa;Administração e Negócios;Ciências da Administração
Teoria da Contabilidade;Administração e Negócios;Contabilidade e Tributação
Teoria da Constituição;Direito;Direito Constitucional
Tendências Contemporâneas do Serviço Social III;Saúde e Bem-Estar Social;Serviço Social e Orientação
Tendências Contemporâneas do Serviço Social II;Saúde e Bem-Estar Social;Serviço Social e Orientação
Tendências Contemporâneas do Serviço Social I;Saúde e Bem-Estar Social;Serviço Social e Orientação
Tecnologias Web;Matemática, Computação e Tecnologias de Informação e Comunicacão;Interdisciplinar com foco em Matemática, Computação e TICs
Tecnologias da Informação e Comunicação Educacionais;Matemática, Computação e Tecnologias de Informação e Comunicacão;Interdisciplinar com foco em Matemática, Computação e TICs
Tecnologia em Tomografia Computadorizada;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Tecnologia em Ressonância Magnética;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Tecnologia em Medicina Nuclear;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Tecnologia em Hemodinâmica e Radiologia Digital;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Tecnologia dos Materiais Elétricos;Engenharia, Produção e Construção;Engenharia Elétrica e de Energia
Tecnologia da Imagem  Crânio, Coluna Vertebral e Tronco;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Tecnologia da imagem  Contrastados;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Tecnologia da Imagem - Membros Superiores e Inferiores;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Supervisão Acadêmica III;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Supervisão Acadêmica II;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Supervisão Acadêmica I;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Sociedades Empresariais;Administração e Negócios;Ciências da Administração
Sistemas Operacionais;Matemática, Computação e Tecnologias de Informação e Comunicacão;Ciências e Engenharia da Computação
Sistemas Elétricos de Potência;Engenharia, Produção e Construção;Engenharia Elétrica e de Energia
Sistemas Digitais Programáveis;Engenharia, Produção e Construção;Engenharia Elétrica e de Energia
Sistemas de Informação, Marketing Digital e Inteligência de Mercado;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Sistemas de Informação Gerencial;Administração e Negócios;Ciências da Administração
Sistemas de Informação;Administração e Negócios;Ciências da Administração
Sistemas Computacionais em Radiologia;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Sistemas Computacionais Distribuídos;Matemática, Computação e Tecnologias de Informação e Comunicacão;Redes de Computadores
Sinais e Sistemas;Engenharia, Produção e Construção;Engenharia Elétrica e de Energia
Serviço Social, Raça e Etnia;Saúde e Bem-Estar Social;Serviço Social e Orientação
Serviço Social, Gênero e Diversidade Sexual;Saúde e Bem-Estar Social;Serviço Social e Orientação
Serviço Social, Classes e Movimentos Sociais;Saúde e Bem-Estar Social;Serviço Social e Orientação
Serviço Social e Saúde;Saúde e Bem-Estar Social;Serviço Social e Orientação
Serviço Social e Processo de Envelhecimento;Saúde e Bem-Estar Social;Serviço Social e Orientação
Serviço Social e Habitação;Saúde e Bem-Estar Social;Serviço Social e Orientação
Serviço Social e Assistência Social;Saúde e Bem-Estar Social;Serviço Social e Orientação
Serviço Social , Famílias, Crianças e Adolescentes;Saúde e Bem-Estar Social;Serviço Social e Orientação
Seminários Temáticos em Psicologia II;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Seminários Temáticos em Psicologia I;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Seminários Temáticos da Ênfase II - Psicologia;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Seminários Temáticos da Ênfase I - Psicologia;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Seguridade Social no Brasil;Ciências Sociais, Jornalismo e Informação;Ciências Políticas e Direitos Humanos
Segurança da Informação;Matemática, Computação e Tecnologias de Informação e Comunicacão;Ciências e Engenharia da Computação
Saúde, Segurança e Qualidade de Vida no Trabalho;Administração e Negócios;Gestão de Pessoas e Departamento de Pessoal
Saúde Pública e Epidemiologia;Saúde e Bem-Estar Social;Epidemiologia e Saúde Pública
Retórica do Discurso;Direito;Interdisciplinar com foco em Direito
Resistência dos Materiais;Engenharia, Produção e Construção;Engenharia e Ciência de Materiais
Reprodução Assistida;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Redes de Computadores e Internet;Matemática, Computação e Tecnologias de Informação e Comunicacão;Redes de Computadores
Recurso e Execução Penal;Direito;Direito Penal
Radioterapia;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Radioproteção;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Radiologia Odontológica e Veterinária;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Radiologia Industrial;Engenharia, Produção e Construção;Engenharia Nuclear
Química orgânica experimental;Ciências Naturais;Ciências Químicas
Química Orgânica;Ciências Naturais;Ciências Químicas
Química Geral e Inorgânica;Ciências Naturais;Ciências Químicas
Química Geral e Experimental;Ciências Naturais;Ciências Químicas
Química Farmacêutica e planejamento de fármacos;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Química Farmacêutica;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Química analítica quantitativa;Ciências Naturais;Ciências Químicas
Química analítica qualitativa;Ciências Naturais;Ciências Químicas
Questão Social e Serviço Social;Saúde e Bem-Estar Social;Serviço Social e Orientação
Qualidade de Software;Matemática, Computação e Tecnologias de Informação e Comunicacão;Ciências e Engenharia da Computação
Publicidade, Propaganda e Promoção;Administração e Negócios;Marketing
Psicossomática;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Psicopatologia da Infância e da Adolescência e Psicoterapia Comportamental;Psicologia e Desenvolvimento Pessoal;Teorias e Abordagens Psicoterapêuticas
Psicomotricidade;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Psicologia Social;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Psicologia Jurídica e Processos Grupais;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Psicologia Hospitalar;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Psicologia Geral: Processos Psicológicos;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Psicologia e Comportamento Organizacional;Psicologia e Desenvolvimento Pessoal;Psicologia Institucional e do Trabalho
Psicologia do Trabalho;Psicologia e Desenvolvimento Pessoal;Psicologia Institucional e do Trabalho
Psicologia do Desenvolvimento: Vida Adulta e Velhice;Psicologia e Desenvolvimento Pessoal;Psicologia Escolar e do Desenvolvimento
Psicologia do Desenvolvimento: Infância;Psicologia e Desenvolvimento Pessoal;Psicologia Escolar e do Desenvolvimento
Psicologia do Desenvolvimento: Adolescência;Psicologia e Desenvolvimento Pessoal;Psicologia Escolar e do Desenvolvimento
Psicologia do Desenvolvimento e da Aprendizagem;Psicologia e Desenvolvimento Pessoal;Psicologia Escolar e do Desenvolvimento
Psicologia da Educação;Psicologia e Desenvolvimento Pessoal;Psicologia Escolar e do Desenvolvimento
Psicologia Comportamental;Psicologia e Desenvolvimento Pessoal;Teorias e Abordagens Psicoterapêuticas
Psicologia;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Psicodiagnóstico e atendimento psicológico de crianças e adolescentes- Ênfase PPS;Psicologia e Desenvolvimento Pessoal;Metodologias e Técnicas em Psicologia
Psicodiagnóstico e Atendimento Psicológico de Crianças e Adolescentes- Enfase PPE;Psicologia e Desenvolvimento Pessoal;Metodologias e Técnicas em Psicologia
Psicanálise: Primeira e Segunda Tópica;Psicologia e Desenvolvimento Pessoal;Teorias e Abordagens Psicoterapêuticas
Psicanálise Desdobramentos da Teoria Freudiana;Psicologia e Desenvolvimento Pessoal;Teorias e Abordagens Psicoterapêuticas
Psicanálise Contemporânea;Psicologia e Desenvolvimento Pessoal;Teorias e Abordagens Psicoterapêuticas
Práticas Pedagógicas:Tecnologias;Educação;Tecnologias aplicadas à Educação
Práticas Pedagógicas: Responsabilidade Socioambiental;Educação;Ciências da Educação, Didática e Pedagogia
Práticas Pedagógicas: Inclusão;Educação;Educação Especial - aspectos teóricos e práticos
Práticas Pedagógicas: Globalização;Educação;Ciências da Educação, Didática e Pedagogia
Práticas Pedagógicas: Diversidade;Educação;Ciências da Educação, Didática e Pedagogia
Práticas Educativas e inclusivas;Educação;Educação Especial - aspectos teóricos e práticos
Práticas e Técnicas de Admissão, Recrutamento e Seleção;Administração e Negócios;Gestão de Pessoas e Departamento de Pessoal
Práticas Biomédicas em Estética;Saúde e Bem-Estar Social;Estética e Cosmética
Prática de Direito Público;Direito;Direito Público
Prática de Direito Privado;Direito;Direito Privado
Prática Contábil Fiscal;Administração e Negócios;Contabilidade e Tributação
Provas e Procedimentos Penais;Direito;Direito Penal
Projetos Elétricos Prediais;Engenharia, Produção e Construção;Engenharia Elétrica e de Energia
Projetos de Instalações Hidráulicas e Saneamento;Engenharia, Produção e Construção;Engenharia Civil e Construções
Projeto Luminotécnico;Engenharia, Produção e Construção;Conforto Ambiental
Projeto Integrador: Serviço Social, Famílias, Crianças e Adolescentes;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Projeto Integrador Orientado:  Serviço Social e Habitação;Saúde e Bem-Estar Social;Epidemiologia e Saúde Pública
Projeto Integrador Orientado: Workshop em Recursos Humanos;Administração e Negócios;Gestão de Pessoas e Departamento de Pessoal
Projeto Integrador Orientado: Técnicas de Pesquisa de Mercado e Perfis;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Projeto Integrador Orientado: Técnicas de Pesquisa de Mercado e Logística;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Projeto Integrador Orientado: Técnicas de pesquisa de mercado e investimento;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Projeto Integrador Orientado: Tribunal do Júri;Direito;Estudos de Direito, Justiça Criminal e Estudos para-legais
Projeto Integrador Orientado: Teoria e Clínica da Abordagem Fenomenológica e Humanista;Psicologia e Desenvolvimento Pessoal;Teorias e Abordagens Psicoterapêuticas
Projeto Integrador Orientado: Tecnologias;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Projeto Integrador Orientado: Símbolos do Direito;Direito;Interdisciplinar com foco em Direito
Projeto Integrador Orientado: Startup em saúde;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Projeto Integrador Orientado: Serviço Social, Raça e Etnia;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Projeto Integrador Orientado: Serviço Social, Classes e Movimentos Sociais;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Projeto Integrador Orientado: Serviço Social e Assistência Social;Saúde e Bem-Estar Social;Serviço Social e Orientação
Projeto Integrador Orientado: Reforma Psiquiátrica - A problemática da Loucura na Sociedade Contemporânea;Saúde e Bem-Estar Social;Saúde Mental
Projeto Integrador Orientado: Raciocínio Clínico;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Projeto Integrador Orientado: Psicologia, Ciência e Profissão;Psicologia e Desenvolvimento Pessoal;Interdisciplinar com foco em Psicologia e Desenvolvimento Pessoal
Projeto Integrador Orientado: Projeto de sustentabilidade empresarial;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
